"User Name","Timestamp","Attemp result"
"TestUser1@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:49.6996967+03:00","Failure"
"TestUser10@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:49.9928277+03:00","Failure"
"TestUser11@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:50.2828634+03:00","Failure"
"TestUser12@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:50.5809693+03:00","Failure"
"TestUser13@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:50.8717014+03:00","Failure"
"TestUser14@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:51.1711895+03:00","Failure"
"TestUser15@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:51.4626244+03:00","Failure"
"TestUser16@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:51.7454834+03:00","Failure"
"TestUser17@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:52.0363670+03:00","Failure"
"TestUser18@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:52.3225274+03:00","Failure"
"TestUser19@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:52.6177963+03:00","Failure"
"TestUser2@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:52.9191252+03:00","Failure"
"TestUser20@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:53.2203123+03:00","Failure"
"TestUser3@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:53.5148472+03:00","Failure"
"TestUser4@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:53.8133438+03:00","Failure"
"TestUser5@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:54.1044338+03:00","Failure"
"TestUser6@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:54.3986151+03:00","Failure"
"TestUser7@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:54.6894952+03:00","Failure"
"TestUser8@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:54.9854092+03:00","Failure"
"TestUser9@mssolinovoutlook.onmicrosoft.com","2019-07-02T23:53:55.2855868+03:00","Failure"
